,address,station3,market,school,bank,cafe,hospital
0,서울특별시 강남구 강남대로 240,100.0,50.0,80.0,38.0,107.0,93.0
1,서울특별시 강남구 강남대로 256,70.0,60.0,80.0,42.0,123.0,98.0
2,서울특별시 강남구 강남대로146길 28,70.0,40.0,0.0,46.0,182.0,290.0
3,서울특별시 강남구 강남대로84길 33,100.0,80.0,0.0,69.0,317.0,309.0
4,서울특별시 강남구 개포로 264,0.0,50.0,80.0,10.0,29.0,15.0
5,서울특별시 강남구 개포로 303,0.0,50.0,100.0,7.0,8.0,6.0
6,서울특별시 강남구 개포로 307,20.0,40.0,80.0,12.0,15.0,10.0
7,서울특별시 강남구 개포로 409,70.0,90.0,160.0,0.0,3.0,1.0
8,서울특별시 강남구 개포로 411,40.0,80.0,120.0,6.0,11.0,16.0
9,서울특별시 강남구 개포로 516,40.0,80.0,60.0,7.0,15.0,21.0
10,서울특별시 강남구 개포로 516,40.0,80.0,60.0,7.0,15.0,21.0
11,서울특별시 강남구 개포로109길 21,50.0,40.0,40.0,14.0,18.0,18.0
12,서울특별시 강남구 개포로109길 69,40.0,40.0,20.0,13.0,18.0,18.0
13,서울특별시 강남구 개포로109길 9,60.0,50.0,20.0,13.0,20.0,19.0
14,서울특별시 강남구 개포로110길 15,50.0,40.0,80.0,12.0,37.0,34.0
15,서울특별시 강남구 개포로110길 21,40.0,50.0,80.0,11.0,34.0,35.0
16,서울특별시 강남구 개포로110길 43,50.0,50.0,80.0,13.0,39.0,35.0
17,서울특별시 강남구 개포로110길 50,20.0,50.0,100.0,5.0,27.0,31.0
18,서울특별시 강남구 광평로10길 15,50.0,10.0,100.0,8.0,7.0,15.0
19,서울특별시 강남구 광평로10길 6,0.0,20.0,0.0,0.0,0.0,2.0
20,서울특별시 강남구 광평로19길 10,50.0,20.0,60.0,18.0,9.0,15.0
21,서울특별시 강남구 광평로19길 15,50.0,20.0,80.0,15.0,9.0,17.0
22,서울특별시 강남구 광평로31길 27,0.0,20.0,60.0,10.0,10.0,13.0
23,서울특별시 강남구 광평로34길 55,0.0,10.0,0.0,3.0,7.0,4.0
24,서울특별시 강남구 광평로39길 3,40.0,20.0,0.0,7.0,24.0,11.0
25,서울특별시 강남구 광평로47길 17,40.0,30.0,60.0,13.0,37.0,29.0
26,서울특별시 강남구 광평로51길 22,40.0,20.0,60.0,16.0,35.0,32.0
27,서울특별시 강남구 광평로51길 27,100.0,20.0,80.0,17.0,39.0,32.0
28,서울특별시 강남구 남부순환로 2803,40.0,60.0,80.0,32.0,28.0,31.0
29,서울특별시 강남구 남부순환로363길 30,20.0,50.0,60.0,21.0,67.0,82.0
30,서울특별시 강남구 남부순환로363길 49,20.0,60.0,60.0,34.0,77.0,93.0
31,서울특별시 강남구 남부순환로365길 33,0.0,50.0,60.0,13.0,56.0,42.0
32,서울특별시 강남구 남부순환로379길 14,50.0,60.0,20.0,18.0,26.0,29.0
33,서울특별시 강남구 남부순환로381길 15,50.0,60.0,60.0,29.0,45.0,33.0
34,서울특별시 강남구 논현로 209,0.0,60.0,60.0,12.0,30.0,29.0
35,서울특별시 강남구 논현로 213,0.0,50.0,20.0,17.0,49.0,27.0
36,서울특별시 강남구 논현로 218,0.0,60.0,20.0,16.0,37.0,23.0
37,서울특별시 강남구 논현로 565,50.0,40.0,0.0,26.0,126.0,62.0
38,서울특별시 강남구 논현로51길 25,0.0,50.0,60.0,12.0,34.0,25.0
39,서울특별시 강남구 도곡로 320,50.0,120.0,140.0,19.0,55.0,72.0
40,서울특별시 강남구 도곡로 404,50.0,120.0,140.0,23.0,64.0,74.0
41,서울특별시 강남구 도곡로13길 19,0.0,60.0,40.0,38.0,141.0,54.0
42,서울특별시 강남구 도곡로18길 34,0.0,50.0,60.0,20.0,62.0,42.0
43,서울특별시 강남구 도곡로3길 26,0.0,70.0,40.0,49.0,177.0,83.0
44,서울특별시 강남구 도곡로43길 20,20.0,80.0,40.0,29.0,53.0,83.0
45,서울특별시 강남구 도곡로43길 21,0.0,70.0,40.0,21.0,36.0,52.0
46,서울특별시 강남구 도곡로57길 12,50.0,90.0,80.0,25.0,65.0,87.0
47,서울특별시 강남구 도곡로78길 22,20.0,120.0,80.0,28.0,91.0,102.0
48,서울특별시 강남구 도곡로7길 22,0.0,60.0,40.0,51.0,150.0,65.0
49,서울특별시 강남구 도곡로93길 12,0.0,80.0,40.0,12.0,41.0,13.0
50,서울특별시 강남구 도산대로 454,0.0,30.0,40.0,20.0,112.0,123.0
51,서울특별시 강남구 도산대로101길 29,0.0,0.0,0.0,16.0,44.0,15.0
52,서울특별시 강남구 도산대로50길 43,40.0,40.0,40.0,40.0,159.0,136.0
53,서울특별시 강남구 도산대로70길 25,0.0,20.0,40.0,18.0,108.0,136.0
54,서울특별시 강남구 도산대로89길 49,0.0,0.0,0.0,12.0,43.0,22.0
55,서울특별시 강남구 도산대로92길 10,0.0,20.0,0.0,29.0,89.0,77.0
56,서울특별시 강남구 도산대로96길 39,20.0,20.0,0.0,29.0,84.0,77.0
57,서울특별시 강남구 밤고개로21길 25,0.0,10.0,20.0,4.0,15.0,6.0
58,서울특별시 강남구 밤고개로26길 50,0.0,60.0,20.0,4.0,16.0,12.0
59,서울특별시 강남구 봉은사로73길 23,50.0,50.0,40.0,13.0,71.0,34.0
60,서울특별시 강남구 삼성로 11,0.0,20.0,60.0,5.0,8.0,10.0
61,서울특별시 강남구 삼성로 150,70.0,90.0,40.0,9.0,16.0,20.0
62,서울특별시 강남구 삼성로 151,50.0,100.0,40.0,13.0,31.0,61.0
63,서울특별시 강남구 삼성로 212,0.0,90.0,0.0,9.0,35.0,24.0
64,서울특별시 강남구 삼성로 417,0.0,60.0,60.0,69.0,186.0,74.0
65,서울특별시 강남구 삼성로 629,40.0,50.0,60.0,19.0,51.0,69.0
66,서울특별시 강남구 삼성로111길 8,50.0,50.0,60.0,11.0,57.0,34.0
67,서울특별시 강남구 삼성로133길 20,0.0,30.0,40.0,17.0,68.0,84.0
68,서울특별시 강남구 삼성로4길 17,50.0,90.0,80.0,8.0,14.0,20.0
69,서울특별시 강남구 삼성로51길 25,50.0,110.0,80.0,24.0,69.0,88.0
70,서울특별시 강남구 삼성로64길 12,0.0,110.0,0.0,19.0,79.0,41.0
71,서울특별시 강남구 삼성로64길 5,0.0,120.0,20.0,21.0,85.0,40.0
72,서울특별시 강남구 삼성로85길 11,0.0,60.0,20.0,64.0,189.0,84.0
73,서울특별시 강남구 선릉로 120,100.0,110.0,120.0,12.0,28.0,46.0
74,서울특별시 강남구 선릉로 206,100.0,110.0,160.0,25.0,30.0,41.0
75,서울특별시 강남구 선릉로 221,20.0,80.0,120.0,16.0,29.0,51.0
76,서울특별시 강남구 선릉로 222,70.0,120.0,120.0,26.0,76.0,83.0
77,서울특별시 강남구 선릉로 423,70.0,60.0,60.0,63.0,184.0,144.0
78,서울특별시 강남구 선릉로 748,0.0,20.0,40.0,29.0,173.0,164.0
